Link, Name
https://x.com/Lenny_bankss,Lenny
https://x.com/amirxrp1908,Amir
https://x.com/Barcajover,Barcajover
https://x.com/RaoulGMI,Raoul Pal
https://x.com/fleabags1948,Fleabags
https://x.com/realCharlie_ada,Charlie_ADA
https://x.com/bgarlinghouse,Brad Garlinghouse
https://x.com/vincharelsworth,Vin Charelsworth
https://x.com/Azazil_06,Azazil
https://x.com/1Origin1,Origin
https://x.com/FlareHead,FlareHead
https://x.com/Jugyman,Jugy
https://x.com/Hisoka15336379,Hisoka
https://x.com/climbingwater2,Climbingwater2
https://x.com/RCKC2020,Midwest Guy
https://x.com/magatrashpanda,Trash Panda
https://x.com/s_alderoty,Stuart Alderoty
https://x.com/realKeithStrout,Keith
https://x.com/Parkno1,Scott Flanders
https://x.com/DonnieSEvans,TheXRPDon
https://x.com/Flare_NFT,NFTs on XRPL & Flare
https://x.com/remasterd7,Berlin
https://x.com/CreamCheeseXFS,WHO?ME?
https://x.com/teels64,Richie Celtic Glasgow
https://x.com/MajorityNote,Majoritynote
https://x.com/bahmad1000,Hememan
https://x.com/Nazdee3,Nazdee
https://x.com/Maximus_milla,Max
https://x.com/MisterHcrypto,Mr. H
https://x.com/GabbardIv,Max Gabbard IV
https://x.com/CoffeeKip,Kip
https://x.com/chrisrock2022,Chris
https://x.com/wallstreetbets,wallstreetbets
https://x.com/PatrykAurelius,Patryk Aurelius
https://x.com/FIDO4186,max profit
https://x.com/ItsjohnnyGood,Johnny B Good
https://x.com/larryzharo,LarryzharoCrypto
https://x.com/cryptoriccc,Eric | Crypto Insider
https://x.com/PreteristMike,Mike
https://x.com/Richard53284541,Richard
https://x.com/702Collection,702
https://x.com/MrQ_MrQ1,MR Q ~ MOON TIME
https://x.com/kevdoma,kevdoma
https://x.com/madave_lui,Dave Lui
https://x.com/Mattyh94X,M
https://x.com/TommoSutts,TommoSutts
https://x.com/scollbandit,Magic Matt: XXMedium
https://x.com/Guy64845805,He’s a good kid…
https://x.com/HeadSmoking,The Smoking Head
https://x.com/CryptoCriminal5,BlockChainTrucker
https://x.com/Josh_can_tweet,Josh Stephens
https://x.com/NovakGoran,GN
https://x.com/R3nCQ,Rentips
https://x.com/XtremeKrypto,Brendon
https://x.com/Squirrelynest,Squirrelynest
https://x.com/AbejaCubana,Abeja_Cubana
https://x.com/antonytrades14,Antony14
https://x.com/cellis921,cellis921
https://x.com/0xRektormoon,0xRektorMoon
https://x.com/JaNc___,J ɐ Nc
https://x.com/cryptokook66,Crypto koo͞k
https://x.com/Nwyman,Nigel Wyman
https://x.com/ALipnickis,Developer_Arthur
https://x.com/babisovakoblihe,Daniel Hanzl
https://x.com/GoodCryptosaur,Arlo
https://x.com/W3stofed3n,WestofEden
https://x.com/nghtrunner,Lu
https://x.com/Lawrence_Bensen,Lawrence Bensen
https://x.com/JackoMooon,Jackie Moon
https://x.com/GaryMoyle,Gary Moyle
https://x.com/dajuiceboxyears,MaynBayherPigg
https://x.com/MamaaGucci,PAPA♛
https://x.com/WedoMick,Mick
https://x.com/JFlite10,GUY
https://x.com/JfkJoerg,JFK
https://x.com/RealAntidotex,TheRealAntidote
https://x.com/PixelChainGames,PiCO
https://x.com/captcrypto2020,Nolan Sorrento
https://x.com/BCBacker,Blockchain Backer
https://x.com/XRPWISEOWL,OFFICER_ERIK81
https://x.com/SpotXrp,XRP Marks the Spot #XHJBF
https://x.com/BGrinny911,CryptoOutdoorsman
https://x.com/Johnnyd7777777,Johnny D
https://x.com/CryptoSikh_,Crypto King
https://x.com/KatiDid23,Kate the Great
https://x.com/DfsElitesxrp,DFS ELITES
https://x.com/silverhoard1,SilverHoard
https://x.com/grippysocks68,grippysocks
https://x.com/elhombredeviaje,It's_Th3_Journ3yman
https://x.com/CryptoHammilton,CaddyWomPus BOB
https://x.com/bgarlinghoose,Brad Garlinghouse
https://x.com/mad_xrp,MadXRP
https://x.com/Jay_Hodl,Jay
https://x.com/DarraFitz,Darra
https://x.com/lovejklmn,JTZ
https://x.com/cryptorecruitr,Dan Gambardello
https://x.com/Dripper_Ben,Sooin_Rami
https://x.com/LavaLampPink,Lava Lamp
https://x.com/emrekaraku88836,emre karakus
https://x.com/MonkWondering,WonderingMonk
https://x.com/DLTisBacon,Atlas
https://x.com/CryptoMac333,Crypto Mac
https://x.com/TheCryptoGueroo,TheCryptoGuero.xrp
